date;year;tx;tn;rhx;rhn;rs;et0;station
2001-02-23;2001;18.11;5.277;95.5;50.89;7.49;1.4521033245575476;COR06
2001-02-24;2001;14.82;5.681;97.2;60.49;9.79;1.3183149466764277;COR06
2001-02-25;2001;17.5;6.694;98.2;36.67;15.3;1.8442285786332708;COR06
2001-02-26;2001;17.7;3.199;94.7;34.38;16.79;2.061420033663558;COR06
2001-02-27;2001;14.69;5.212999999999999;96.8;46.53;9.68;1.8066839635340843;COR06
2001-02-28;2001;13.61;4.603;92.3;41.13;10.35;1.6938417951419773;COR06
2001-03-01;2001;15.56;6.356;97.6;89.1;1.977;0.6815609286382014;COR06
2001-03-02;2001;19.25;13.47;95.5;68.62;4.9030000000000005;1.7709753386505165;COR06
2001-03-03;2001;16.77;11.73;96.6;79.8;3.482;1.1351487396460869;COR06
2001-03-04;2001;17.9;13.41;95.5;71.9;7.9;1.649606804365004;COR06
2001-03-05;2001;19.86;12.53;97.0;73.5;8.16;1.3902596706719708;COR06
2001-03-06;2001;26.1;13.0;95.5;46.22;14.7;2.836898305853976;COR06
2001-03-07;2001;16.56;11.92;94.7;84.3;0.5770000000000001;0.6998059016176374;COR06
2001-03-08;2001;16.63;10.73;96.1;64.32;8.28;1.6316523880203913;COR06
2001-03-09;2001;19.66;13.14;96.9;76.8;6.519;1.3531407790830656;COR06
2001-03-10;2001;20.25;12.67;97.2;72.4;6.678;1.3885984976955406;COR06
2001-03-11;2001;25.14;11.94;97.8;52.21;18.4;2.691678363472464;COR06
2001-03-12;2001;18.65;10.93;97.9;58.41;5.564;1.39841043468341;COR06
2001-03-13;2001;20.92;4.684;92.7;33.76;20.91;2.877281590806651;COR06
2001-03-14;2001;21.73;5.9510000000000005;94.0;37.39;20.75;2.9502623784897883;COR06
2001-03-15;2001;23.2;6.089;96.7;27.02;19.27;2.7274011873592614;COR06
2001-03-16;2001;17.03;9.38;95.4;65.05;8.5;1.60964867549555;COR06
2001-03-17;2001;18.84;11.19;95.7;54.72;13.94;2.136907717230879;COR06
2001-03-18;2001;19.51;10.79;96.3;49.06;18.79;2.6589285278594166;COR06
2001-03-19;2001;21.66;10.19;96.3;39.42;17.76;2.423650527507184;COR06
2001-03-20;2001;22.6;7.3;97.8;42.86;20.2;2.8028330283425613;COR06
2001-03-21;2001;22.2;8.71;98.1;45.75;17.8;2.6671162932064703;COR06
2001-03-22;2001;27.03;7.84;96.0;32.67;21.74;3.3425747406870743;COR06
